uo.youku.com                  	43.250.15.32
cvz.youku.com                 	36.86.63.180
www.youku.com                 	59.82.246.31
pg.youku.com                  	43.250.12.217
yp.youku.com                  	59.82.0.48
u.youku.com                   	45.112.212.41
4g.youku.com                  	114.80.122.40
dv.youku.com                  	59.82.246.32
m2.youku.com                  	66.198.178.110, 66.198.178.120
msg.youku.com                 	43.250.14.40
up.youku.com                  	43.250.15.20
coh.youku.com                 	36.86.63.180
uctg.youku.com                	59.82.12.44
lg.youku.com                  	43.250.12.217
ct.youku.com                  	220.181.60.62
xdc.youku.com                 	43.250.12.217
ke.youku.com                  	59.82.12.54
jlb.youku.com                 	43.250.12.217
coi.youku.com                 	36.86.63.180
pi.youku.com                  	118.26.203.135
yjb.youku.com                 	43.250.15.41
cu.youku.com                  	220.181.60.62
cof.youku.com                 	36.86.63.180
m3.youku.com                  	66.198.178.110, 66.198.178.120
mx.youku.com                  	211.151.50.220
s.youku.com                   	211.151.146.209
cog.youku.com                 	36.86.63.180
uch.youku.com                 	36.86.63.180
he.youku.com                  	103.41.143.55
g1.youku.com                  	66.198.24.240, 66.198.24.250
ad.youku.com                  	43.250.12.44, 59.82.2.60, 59.82.3.55
pl.youku.com                  	45.112.212.32
ent.youku.com                 	43.250.12.44, 59.82.2.60, 59.82.3.55
img.youku.com                 	47.89.67.253, 66.102.255.60
coe.youku.com                 	115.124.93.137
qr.youku.com                  	103.41.143.245
uc.youku.com                  	43.250.12.217
p.youku.com                   	119.167.222.133, 119.167.222.144, 119.167.222.148, 119.167.222.151, 119.167.222.152, 119.167.222.153, 119.167.222.154, 119.167.222.76, 119.167.222.80, 119.167.222.81
m1.youku.com                  	66.198.178.110, 66.198.178.120
ac.youku.com                  	124.243.193.49
ucj.youku.com                 	115.124.93.137
tvs.youku.com                 	43.250.12.44, 59.82.2.60, 59.82.3.55
g2.youku.com                  	66.198.24.240, 66.198.24.250
epg.youku.com                 	43.250.12.44, 59.82.2.60, 59.82.3.55
dl.youku.com                  	210.76.57.125, 218.60.47.145
ir.youku.com                  	184.51.1.40, 184.51.1.43
tg.youku.com                  	123.126.98.146, 123.126.98.147, 123.126.98.148, 123.126.98.149, 123.126.98.150, 123.126.98.151
mms.youku.com                 	118.26.203.135
3g.youku.com                  	43.250.12.42
cob.youku.com                 	115.124.93.137
uck.youku.com                 	115.124.93.137
sdl.youku.com                 	124.243.193.49
q.youku.com                   	211.151.146.37
g3.youku.com                  	66.198.24.240, 66.198.24.250
jvc.youku.com                 	43.250.12.217
cr.youku.com                  	211.151.146.61
sc.youku.com                  	59.82.1.45
ucl.youku.com                 	115.124.93.137
ww.youku.com                  	59.82.246.31
cpm.youku.com                 	211.151.50.120
n.youku.com                   	211.151.50.87, 211.151.50.88
crp.youku.com                 	10.103.51.134
wan.youku.com                 	43.250.15.36
g4.youku.com                  	66.198.24.240, 66.198.24.250
ucm.youku.com                 	115.124.93.137
yun.youku.com                 	43.250.12.47
ads.youku.com                 	10.100.51.73
fan.youku.com                 	59.82.1.203
m4.youku.com                  	66.198.178.110, 66.198.178.120
dmp.youku.com                 	10.100.188.65
xz.youku.com                  	103.41.143.37
es.youku.com                  	59.82.246.32
mvl.youku.com                 	60.29.238.4, 60.29.238.5, 60.29.238.6
api.youku.com                 	45.112.212.33
adr.youku.com                 	211.151.50.166
vpn.youku.com                 	218.30.180.180, 218.30.180.184
uca.youku.com                 	118.98.96.151
mp.youku.com                  	43.250.14.56
ctf.youku.com                 	118.26.203.135
h1.youku.com                  	47.89.65.198, 47.89.65.199, 47.89.65.228, 47.89.65.229
