mail.mobage.cn                	119.15.138.54
www.mobage.cn                 	119.15.138.100
cs.mobage.cn                  	119.15.138.11
pay.mobage.cn                 	119.15.138.51
bbs.mobage.cn                 	119.15.138.35
portal.mobage.cn              	119.15.138.93
d2.mobage.cn                  	42.120.50.193
static.mobage.cn              	119.15.138.34
demo.mobage.cn                	119.15.138.104
m.mobage.cn                   	119.15.138.48
img.mobage.cn                 	119.15.138.48
api.mobage.cn                 	119.15.138.48
bb.mobage.cn                  	119.15.138.100
ads.mobage.cn                 	119.15.138.100
chat.mobage.cn                	119.15.138.62
developer.mobage.cn           	119.15.138.123
img1.mobage.cn                	119.15.138.52
pc.mobage.cn                  	119.15.138.100
www1.mobage.cn                	119.15.138.100
sun.mobage.cn                 	119.15.138.100
dc.mobage.cn                  	119.15.138.74
gs.mobage.cn                  	54.223.128.228
pn.mobage.cn                  	119.15.138.61
qa.mobage.cn                  	119.15.138.65
app1.mobage.cn                	119.15.138.53
sb.mobage.cn                  	119.15.138.64
ava.mobage.cn                 	119.15.138.59
cgm.mobage.cn                 	119.15.138.112
edt.mobage.cn                 	221.181.68.103
fn.mobage.cn                  	121.30.192.12, 221.204.23.22, 119.188.138.14, 60.211.206.9, 27.221.55.13
ft.mobage.cn                  	54.223.188.227
infra.mobage.cn               	119.15.138.29
ios.mobage.cn                 	119.15.139.70
kt.mobage.cn                  	119.15.138.48
lg.mobage.cn                  	119.15.138.92
msf.mobage.cn                 	119.15.139.33
oo.mobage.cn                  	119.15.138.104
opel.mobage.cn                	119.15.138.96
ssl.mobage.cn                 	119.15.138.48
wp.mobage.cn                  	119.15.138.48
wx.mobage.cn                  	119.15.138.12
x.mobage.cn                   	119.15.138.15
m.bbs.mobage.cn               	119.15.138.35
cache.sun.mobage.cn           	119.15.139.223
api.sb.mobage.cn              	119.15.138.64
